IMBdRating,,,,,
,Title,IMDb-Rating,Category,ReleaseYear,Budget(Mil)
29,Mission: Impossible - Fallout,7.7,"Action,Adventure,Thriller",2018,178
146,K.G.F: Chapter 1,8.2,"Action,Crime,Drama",2018,12
102,Spider-Man: Into the Spider-Verse,8.4,"Animation,Action,Adventure",2018,90
101,Deadpool 2,7.7,"Action,Adventure,Comedy",2018,110
254,A Star Is Born,7.6,"Drama,Music,Romance",2018,36
748,Ratsasan,8.3,"Crime,Drama,Mystery",2018,1
63,Bohemian Rhapsody,7.9,"Biography,Drama,Music",2018,55
917,Badhaai ho,8,"Comedy,Drama",2018,3.8
54,Avengers: Infinity War,8.4,"Action,Adventure,Sci-Fi",2018,316
359,Incredibles 2,7.6,"Animation,Action,Adventure",2018,200
211,Green Book,8.2,"Biography,Comedy,Drama",2018,23
403,Capharnaüm,8.4,Drama,2018,4
695,Doragon bôru chô: Burorî,7.8,"Animation,Action,Adventure",2018,8.5
537,Isle of Dogs,7.8,"Animation,Adventure,Comedy",2018,35
742,Andhadhun,8.2,"Comedy,Crime,Music",2018,4.2
574,Searching,7.6,"Drama,Mystery,Thriller",2018,0.88
585,Roma,7.7,Drama,2018,15
609,Tumbbad,8.2,"Drama,Fantasy,Horror",2018,0.66
844,96,8.4,"Drama,Romance",2018,2.2
629,Manbiki kazoku,7.9,"Crime,Drama",2018,110
904,Padman,7.9,"Biography,Comedy,Drama",2018,9.5
346,Dark Waters,7.6,"Biography,Drama,History",2019,30
321,Portrait de la jeune fille en feu,8.1,"Drama,Romance",2019,5.4
634,Klaus,8.1,"Animation,Adventure,Comedy",2019,40
247,Toy Story 4,7.7,"Animation,Adventure,Comedy",2019,200
680,Togo,7.9,"Adventure,Biography,Drama",2019,40
487,Sound of Metal,7.7,"Drama,Music",2019,5.4
277,Marriage Story,7.9,"Drama,Romance",2019,18
719,Miracle in Cell No. 7,8.2,Drama,2019,3.2
154,Little Women,7.8,"Drama,Romance",2019,40
23,Joker,8.4,"Crime,Drama,Thriller",2019,70
24,Knives Out,7.9,"Comedy,Crime,Drama",2019,40
14,Once Upon a Time in... Hollywood,7.6,"Comedy,Drama",2019,93
865,Super 30,7.9,"Biography,Drama",2019,7
830,Article 15,8.2,"Crime,Drama,Mystery",2019,3.9
905,Uri: The Surgical Strike,8.2,"Action,Drama,History",2019,3
813,Asuran,8.5,"Action,Drama",2019,
34,1917,8.2,"Action,Drama,War",2019,95
55,Gisaengchung,8.5,"Comedy,Drama,Thriller",2019,15.5
796,Gully Boy,7.9,"Drama,Music,Romance",2019,
906,Chhichhore,8.2,"Comedy,Drama,Romance",2019,6.6
87,Ford v Ferrari,8.1,"Action,Biography,Drama",2019,97.6
88,The Irishman,7.8,"Biography,Crime,Drama",2019,159
106,Jojo Rabbit,7.9,"Comedy,Drama,War",2019,14
19,The Gentlemen,7.8,"Action,Comedy,Crime",2019,22
17,Avengers: Endgame,8.4,"Action,Adventure,Drama",2019,356
668,WolfWalkers,8,"Animation,Adventure,Family",2020,12
841,Soorarai Pottru,8.7,Drama,2020,
192,The Father,8.2,"Drama,Mystery",2020,6
392,The Trial of the Chicago 7,7.7,"Drama,History,Thriller",2020,35
297,Soul,8,"Animation,Adventure,Comedy",2020,150
276,Druk,7.7,"Comedy,Drama",2020,5.7
511,Kimetsu no Yaiba: Mugen Ressha-Hen,8.2,"Animation,Action,Adventure",2020,15
164,Hamilton,8.4,"Biography,Drama,History",2020,12.5
734,Shershaah,8.4,"Action,Biography,Drama",2021,
962,Drishyam 2,8.4,"Crime,Drama,Thriller",2021,
563,Jai Bhim,8.9,"Crime,Drama,Mystery",2021,
258,The Mitchells vs the Machines,7.6,"Animation,Adventure,Comedy",2021,75
60,Zack Snyders Justice League,8,"Action,Adventure,Fantasy",2021,70
27,Verdens verste menneske,7.9,"Comedy,Drama,Romance",2021,5.6
25,CODA,8,"Comedy,Drama,Music",2021,10
8,Dune: Part One,8,"Action,Adventure,Drama",2021,165
5,Spider-Man: No Way Home,8.3,"Action,Adventure,Fantasy",2021,200
667,Sardar Udham,8.5,"Biography,Crime,Drama",2021,
32,K.G.F: Chapter 2,8.6,"Action,Crime,Drama",2022,13
6,RRR (Rise Roar Revolt),8.1,"Action,Drama",2022,72
2,The Batman,7.9,"Action,Crime,Drama",2022,185
1,Everything Everywhere All at Once,8.3,"Action,Adventure,Comedy",2022,25
0,Top Gun: Maverick,8.6,"Action,Drama",2022,170